Cell	Clean_Reads (after QC)	Aligned_Reads	Mapping_Ratio	Gene_Numer	Transcripts
forebrain_E9.5_embryo1_sc1	52583	16897	0.321339596447521	857	1600
forebrain_E9.5_embryo1_sc10	1106790	848609	0.766729912630219	7790	551335
forebrain_E9.5_embryo1_sc11	68843	30829	0.447816045204305	1657	7803
forebrain_E9.5_embryo1_sc12	1081746	823225	0.761015062685695	7837	425877
forebrain_E9.5_embryo1_sc13	448616	331271	0.738428856750539	5458	203071
forebrain_E9.5_embryo1_sc14	856236	660484	0.771380787539884	7215	434368
forebrain_E9.5_embryo1_sc15	1531147	1132487	0.73963309858557	8343	694639
forebrain_E9.5_embryo1_sc16	542974	388773	0.716006659619061	6004	240432
forebrain_E9.5_embryo1_sc17	1076666	823974	0.765301402663407	7826	456609
forebrain_E9.5_embryo1_sc18	840492	614707	0.731365676294361	6782	338261
forebrain_E9.5_embryo1_sc19	842629	627187	0.744321640959426	7009	394231
forebrain_E9.5_embryo1_sc2	751603	560397	0.745602399138907	6635	313164
forebrain_E9.5_embryo1_sc20	588449	450954	0.76634338744734	7283	315988
forebrain_E9.5_embryo1_sc21	183432	141309	0.770361768938898	5686	102181
forebrain_E9.5_embryo1_sc22	713663	512031	0.71746888937776	6366	269270
forebrain_E9.5_embryo1_sc24	627260	470861	0.750663201862067	6695	291238
forebrain_E9.5_embryo1_sc25	905575	672306	0.742407862407862	7337	437496
forebrain_E9.5_embryo1_sc26	372708	259849	0.697191903581356	5092	152763
forebrain_E9.5_embryo1_sc27	737496	378343	0.513010240055539	6149	186226
forebrain_E9.5_embryo1_sc28	350636	262151	0.747644280678538	5521	177296
